GDS5673
ID_REF	GSM1146158	GSM1146159	GSM1146160	GSM1146161	GSM1146165	GSM1146166	GSM1146167	GSM1146162	GSM1146163	GSM1146164	Gene title	Gene symbol	Gene ID	UniGene title	UniGene symbol	UniGene ID	Nucleotide Title	GI	GenBank Accession	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Chromosome location	Chromosome annotation	GO:Function	GO:Process	GO:Component	GO:Function ID	GO:Process ID	GO:Component ID
genotype/variation	control	control	control	control	KAT2B depletion	KAT2B depletion	KAT2B depletion	WDR5 depletion	WDR5 depletion	WDR5 depletion
agent	control	control	glucagon	glucagon	control	glucagon	glucagon	control	glucagon	glucagon
10344897	76.1093	62.6829	72.5046	69.0706	68.5935	89.2636	75.5835	60.1295	81.0084	64.4452	sulfatase 1	Sulf1	240725				Mus musculus sulfatase 1 (Sulf1), transcript variant 1, mRNA///Mus musculus sulfatase 1 (Sulf1), transcript variant 2, mRNA///Mus musculus extracellular sulfatase SULF-1 mRNA, complete cds///Mus musculus sulfatase 1, mRNA (cDNA clone MGC:25096 IMAGE:4500954), complete cds///Mus musculus sulfatase 1, mRNA (cDNA clone MGC:55013 IMAGE:4500954), complete cds///Mus musculus sulfatase 1 (Sulf1), transcript variant 3, mRNA///Mus musculus 9.5 days embryo parthenogenote cDNA, RIKEN full-length enriched library, clone:B130018L10 product:SULFATASE FP homolog [Rattus norvegicus], full insert sequence///Mus musculus 16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130013J22 product:sulfatase 1, full insert sequence	310616751///26986616///27356935///21961488///29165844///310616753///26336990///26085784	NM_001198565///NM_172294///AY101178///BC034547///BC049276///NM_001198566///AK045002///AK037389			chr1:12692442-12860377	1 A3	Chromosome 1, NC_000067.6 (12692262..12861192)	N-acetylglucosamine-6-sulfatase activity///N-acetylglucosamine-6-sulfatase activity///alkyl sulfatase activity///arylsulfatase activity///calcium ion binding///catalytic activity///endosulfan hemisulfate sulfatase activity///endosulfan sulfate hydrolase activity///hydrolase activity///metal ion binding///sulfuric ester hydrolase activity	apoptotic process///bone development///cartilage development///chondrocyte development///embryonic skeletal system development///esophagus smooth muscle contraction///glial cell-derived neurotrophic factor receptor signaling pathway///glomerular basement membrane development///glomerular filtration///heparan sulfate proteoglycan metabolic process///heparan sulfate proteoglycan metabolic process///innervation///kidney development///metabolic process///negative regulation of angiogenesis///negative regulation of cell migration///negative regulation of endothelial cell proliferation///negative regulation of fibroblast growth factor receptor signaling pathway///negative regulation of fibroblast growth factor receptor signaling pathway///negative regulation of fibroblast growth factor receptor signaling pathway///negative regulation of prostatic bud formation///positive regulation of BMP signaling pathway///positive regulation of Wnt signaling pathway///positive regulation of vascular endothelial growth factor production///regulation of fibroblast growth factor receptor signaling pathway///sulfur compound metabolic process///vascular endothelial growth factor receptor signaling pathway	Golgi apparatus///cell surface///endoplasmic reticulum///extracellular space///membrane raft///plasma membrane	GO:0008449///GO:0008449///GO:0018741///GO:0004065///GO:0005509///GO:0003824///GO:0034889///GO:0034902///GO:0016787///GO:0046872///GO:0008484	GO:0006915///GO:0060348///GO:0051216///GO:0002063///GO:0048706///GO:0014846///GO:0035860///GO:0032836///GO:0003094///GO:0030201///GO:0030201///GO:0060384///GO:0001822///GO:0008152///GO:0016525///GO:0030336///GO:0001937///GO:0040037///GO:0040037///GO:0040037///GO:0060686///GO:0030513///GO:0030177///GO:0010575///GO:0040036///GO:0006790///GO:0048010	GO:0005794///GO:0009986///GO:0005783///GO:0005615///GO:0045121///GO:0005886
10345087	79.8932	79.8932	97.0059	93.7015	73.0089	103.968	100.427	83.2859	87.4266	91.1392	microRNA 30a	Mir30a	387225				Mus musculus microRNA 30a (Mir30a), microRNA	262205845	NR_029533			chr1:23272269-23272339	1	Chromosome 1, NC_000067.6 (23272269..23272339)		cellular response to amino acid stimulus///cellular response to inorganic substance///common bile duct development///gene silencing by miRNA///intrahepatic bile duct development///myelination	micro-ribonucleoprotein complex		GO:0071230///GO:0071241///GO:0061009///GO:0035195///GO:0035622///GO:0042552	GO:0035068
10345141	995.999	786.88	989.119	797.865	831.746	1074.91	935.763	770.686	975.501	770.686	LMBR1 domain containing 1	Lmbrd1	68421				Mus musculus LMBR1 domain containing 1 (Lmbrd1), transcript variant 1, mRNA///Mus musculus LMBR1 domain containing 1 (Lmbrd1), transcript variant 2, mRNA///Mus musculus adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430596H08 product:BM-021 (MSTP044) homolog [Homo sapiens], full insert sequence///Mus musculus LMBR1 domain containing 1, mRNA (cDNA clone MGC:38272 IMAGE:5325113), complete cds///Mus musculus LMBR1 domain containing 1, mRNA (cDNA clone MGC:38447 IMAGE:5346846), complete cds///Mus musculus LMBR1 domain containing 1, mRNA (cDNA clone MGC:38900 IMAGE:5362166), complete cds///Mus musculus LMBR1 domain containing 1, mRNA (cDNA clone MGC:6899 IMAGE:2655321), complete cds	123701961///882939091///26328374///19343768///20379996///21618899///24660150	NM_026719///NM_001310483///AK032560///BC025579///BC027774///BC031902///BC039053			chr1:24586617-24766297	1 A5	Chromosome 1, NC_000067.6 (24678042..24766301)	cobalamin binding///insulin receptor binding	insulin receptor internalization///negative regulation of glucose import///negative regulation of insulin receptor signaling pathway///negative regulation of protein kinase B signaling///NOT regulation of MAPK cascade///transport	clathrin-coated endocytic vesicle///integral component of membrane///lysosome///membrane///plasma membrane	GO:0031419///GO:0005158	GO:0038016///GO:0046325///GO:0046627///GO:0051898///NOT GO:0043408///GO:0006810	GO:0045334///GO:0016021///GO:0005764///GO:0016020///GO:0005886
10345241	1120.56	929.3	1184.45	897.644	1105.13	1520.15	1278.29	935.763	1251.98	1002.93	dystonin	Dst	13518				Mus musculus dystonin (Dst), transcript variant 1, mRNA///Mus musculus dystonin (Dst), transcript variant 4, mRNA///Mus musculus dystonin (Dst), transcript variant 3, mRNA///Mus musculus dystonin (Dst), transcript variant 2, mRNA///PREDICTED: Mus musculus dystonin (Dst), transcript variant X18, mRNA///PREDICTED: Mus musculus dystonin (Dst), transcript variant X19, mRNA///Mus musculus bullous pemphigoid antigen 1-e (Bpag1) mRNA, complete cds, alternatively spliced///Mus musculus bullous pemphigoid antigen 1-a (Bpag1) mRNA, complete cds, alternatively spliced///Mus musculus bullous pemphigoid antigen 1-b (Bpag1) mRNA, complete cds, alternatively spliced///Mus musculus dystonin isoform 2 mRNA, partial cds	454525116///454527342///454526347///454525777///1039727503///1039727504///15077860///15077862///15077864///904021	NM_001276764///NM_010081///NM_133833///NM_134448///XM_006495679///XM_006495680///AF396877///AF396878///AF396879///U25158			chr1:33908272-34308652	1 12.91 cM	Chromosome 1, NC_000067.6 (33908213..34308662)	actin binding///calcium ion binding///cytoskeletal protein binding///metal ion binding///microtubule binding///protein binding	axonogenesis///cell adhesion///cytoplasmic microtubule organization///cytoskeleton organization///regulation of microtubule polymerization or depolymerization///retrograde axonal transport	actin cytoskeleton///cell junction///cell projection///cytoplasm///cytoplasmic, membrane-bounded vesicle///cytoskeleton///endoplasmic reticulum///hemidesmosome///integral component of membrane///intermediate filament///membrane///microtubule///microtubule cytoskeleton///neurofilament cytoskeleton///nucleus///plasma membrane///postsynaptic density	GO:0003779///GO:0005509///GO:0008092///GO:0046872///GO:0008017///GO:0005515	GO:0007409///GO:0007155///GO:0031122///GO:0007010///GO:0031110///GO:0008090	GO:0015629///GO:0030054///GO:0042995///GO:0005737///GO:0016023///GO:0005856///GO:0005783///GO:0030056///GO:0016021///GO:0005882///GO:0016020///GO:0005874///GO:0015630///GO:0060053///GO:0005634///GO:0005886///GO:0014069
10345504	4420.52	3875.05	4544.8	4011.71	4211.15	4837.35	4513.4	3929.15	4737.79	3956.48	cytochrome c oxidase subunit Vb	Cox5b	12859				Mus musculus cytochrome c oxidase subunit Vb (Cox5b), mRNA///Mus musculus cytochrome c oxidase, subunit Vb, mRNA (cDNA clone MGC:107010 IMAGE:3465479), complete cds///Mus musculus cytochrome c oxidase, subunit Vb, mRNA (cDNA clone MGC:117683 IMAGE:30933585), complete cds///Mouse mRNA for mitochondrial cytochrome c oxidase subunit Vb	112807194///66365719///71051225///50530	NM_009942///BC096048///BC099474///X53157			chr1:36691487-36693388	1 B	Chromosome 1, NC_000067.6 (36691487..36693388)			mitochondrial inner membrane///mitochondrion			GO:0005743///GO:0005739
10345608	1573.76	1128.35	1698.45	1251.98	1499.22	2091.03	1552.09	1112.82	1595.73	1060.11	unc-50 homolog (C. elegans)	Unc50	67387				Mus musculus unc-50 homolog (C. elegans) (Unc50), mRNA///Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110002A21 product:UNC-50 RELATED PROTEIN homolog [Rattus norvegicus], full insert sequence///Mus musculus UNC50 (Unc50) mRNA, complete cds///Mus musculus unc-50 homolog (C. elegans), mRNA (cDNA clone MGC:28445 IMAGE:4039903), complete cds	83921615///12833837///28188309///18043402	NM_026123///AK003273///AY017214///BC019484			chr1:37430172-37439124	1 B	Chromosome 1, NC_000067.6 (37430139..37439124)	RNA binding	cell surface receptor signaling pathway///protein transport///transport	Golgi apparatus///Golgi membrane///integral component of Golgi membrane///integral component of membrane///membrane///nuclear inner membrane///nucleus	GO:0003723	GO:0007166///GO:0015031///GO:0006810	GO:0005794///GO:0000139///GO:0030173///GO:0016021///GO:0016020///GO:0005637///GO:0005634
10346303	5184.54	6251.56	5220.6	6295.04	5955.47	4770.75	5595.3	6208.38	5792.62	6472.02	heat shock protein 1 (chaperonin 10)	Hspe1	15528				Mus musculus heat shock protein 1 (chaperonin 10) (Hspe1), mRNA///Mus musculus heat shock protein 1 (chaperonin 10), mRNA (cDNA clone MGC:36134 IMAGE:5004427), complete cds///Mus musculus heat shock protein 1 (chaperonin 10), mRNA (cDNA clone MGC:117526 IMAGE:30848267), complete cds///Mus musculus chaperonin 10 mRNA, complete cds	183396769///19353433///68534058///495205	NM_008303///BC024385///BC099385///U09659			chr1:55088317-55091307	1 C1	Chromosome 1, NC_000067.6 (55088148..55091317)	ATP binding///chaperone binding///chaperone binding///metal ion binding///poly(A) RNA binding///unfolded protein binding	chaperone mediated protein folding requiring cofactor///osteoblast differentiation///protein folding///response to unfolded protein	cytoplasm///extracellular exosome///membrane///mitochondrial matrix///mitochondrial matrix///mitochondrion///mitochondrion	GO:0005524///GO:0051087///GO:0051087///GO:0046872///GO:0044822///GO:0051082	GO:0051085///GO:0001649///GO:0006457///GO:0006986	GO:0005737///GO:0070062///GO:0016020///GO:0005759///GO:0005759///GO:0005739///GO:0005739
10346549	1618	2194.99	1795.29	2076.59	1884.54	1734.13	1746.2	2134.97	1951	2336.28	chromobox 3	Cbx3	12417				Mus musculus chromobox 3 (Cbx3), mRNA///Mus musculus chromobox homolog 3 (Drosophila HP1 gamma), mRNA (cDNA clone MGC:25433 IMAGE:3990224), complete cds///Mus musculus chromobox homolog 3 (Drosophila HP1 gamma), mRNA (cDNA clone MGC:69628 IMAGE:5717629), complete cds///Mus musculus chromobox homolog 3 (Drosophila HP1 gamma), mRNA (cDNA clone MGC:118084 IMAGE:30728322), complete cds///Mus musculus chromobox homolog 3 (Drosophila HP1 gamma), mRNA (cDNA clone MGC:107015 IMAGE:3467208), complete cds///Mus musculus adult male thymus cDNA, RIKEN full-length enriched library, clone:5830431E23 product:chromobox homolog 3 (Drosophila HP1 gamma), full insert sequence	108860694///17390827///37590523///80474658///82571442///12857468	NM_007624///BC018354///BC059831///BC108370///BC110376///AK017958			chr1:58646608-58648317	6 B-C	Chromosome 6, NC_000072.6 (51470447..51483704)	enzyme binding///histone methyltransferase binding///identical protein binding///protein binding///protein domain specific binding///transcription regulatory region sequence-specific DNA binding	covalent chromatin modification///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///regulation of transcription, DNA-templated///rhythmic process///transcription, DNA-templated	chromatin///chromatin///chromocenter///chromosome, centromeric region///condensed chromosome, centromeric region///nuclear chromosome, telomeric region///nuclear envelope///nuclear euchromatin///nuclear heterochromatin///nuclear heterochromatin///nuclear pericentric heterochromatin///nucleus///nucleus///senescence-associated heterochromatin focus///spindle	GO:0019899///GO:1990226///GO:0042802///GO:0005515///GO:0019904///GO:0000976	GO:0016569///GO:0045892///GO:0045892///GO:0006355///GO:0048511///GO:0006351	GO:0000785///GO:0000785///GO:0010369///GO:0000775///GO:0000779///GO:0000784///GO:0005635///GO:0005719///GO:0005720///GO:0005720///GO:0031618///GO:0005634///GO:0005634///GO:0035985///GO:0005819
